AreaManagerId,SellingPointId,StartDateSellingPoint,EndDateSellingPoint,SellingPointDesc,Location
687,21693,20190901,,Seisplein,"(51.50018, 3.6066)"
687,21651,20190901,,Londensekaai 2,"(51.49871, 3.61839)"
687,21607,20190901,,Bogardstraat,"(51.50073, 3.61389)"
687,21706,20190901,,Veersesingel 3,"(51.50295, 3.6243)"
687,21691,20190901,,Seisbolwerk,"(51.50069991, 3.606588833)"
687,21643,20190901,,Korendijk 2,"(51.49738, 3.617123211)"
687,21663,20190901,,Molenwater 2,"(51.50432, 3.617108091)"
687,21619,20190901,,Domburgs Schuitvlot,"(51.49657367, 3.606165766)"
687,21653,20190901,20190627,Loskade 2,"(51.497, 3.61929)"
687,21669,20190901,,Nieuwe Oostersestraat,"(51.50405, 3.61899)"
687,21631,20190901,,hof van tange 2,"(51.49686123, 3.605264589)"
687,21635,20190901,,Kinderdijk 1,"(51.49951244, 3.620962154)"
687,21628,20190901,,Herengracht 2,"(51.50121, 3.60917)"
687,21718,20190901,,Onder den toren 2,"(51.49958357, 3.615303431)"
687,21642,20190901,,Korendijk 1,"(51.49812362, 3.618361314)"
687,21632,20190901,,Hofplein,"(51.5013349, 3.611865255)"
687,21620,20190901,,Dwarskaai,"(51.50101703, 3.621051167)"
687,21664,20190901,20190627,Molenwater 3,"(51.50441511, 3.615263649)"
687,21707,20190901,,verwerijstraat,"(51.50299, 3.61888)"
687,21687,20190901,,Rouaansekaai 1,"(51.50051143, 3.621791096)"
687,21647,20190901,,Lange Noordstraat,"(51.50009, 3.61078)"
687,21676,20190901,20190627,Kanaalweg,"(51.49493836, 3.616791431)"
687,21611,20190901,,Breestraat 1,"(51.50243433, 3.621533941)"
687,21600,20190901,,Achter de Houttuinen 1,"(51.49654, 3.60739)"
687,21648,20190901,,Latijnse Schoolstraat,"(51.50051398, 3.61232)"
687,21631,20190901,20190627,hof van tange 2,"(51.49686123, 3.605376498)"
687,21605,20190901,,Bellinkplein,"(51.49954, 3.61818)"
687,21696,20190901,,Sint Barbaragang,"(51.49862755, 3.616105548)"
687,21637,20190901,,Klein Vlaanderen  1,"(51.50107, 3.60692)"
687,21667,20190901,,Molenwater 6,"(51.50304, 3.61116)"
687,21695,20190901,,Singelstraat 2,"(51.50203709, 3.620625912)"
687,21678,20190901,,Beenhouwerssingel,"(51.49706, 3.60758)"
687,21676,20190901,,Kanaalweg,"(51.49493836, 3.616679522)"
687,21601,20190901,,Achter de Houttuinen 2,"(51.49791, 3.60631)"
299,8719,20180604,,Parkeerterrein Karel v. Gelrelaan,"(51.9302792, 6.074426209)"
299,8727,20180604,,Bastion,"(51.9305018, 6.079024675)"
299,8712,20180604,,Masiusplein,"(51.927358799, 6.075036473)"
299,8701,20180604,,Oude doesburgseweg,"(51.931410738, 6.076390227)"
299,8712,20180604,,Masiusplein,"(51.927371251, 6.075552213)"
546,7009,20180501,,Raamsteeg,"(52.154833848, 4.492324173)"
715,45306,20150508,20190111,Scheldekade_2,"(51.339241687, 3.827454116)"
715,45320,20190101,,Zone5,"(51.33971882, 3.82568549)"
546,7000,20180313,20180501,Raamsteeg,"(52.154833848, 4.492324173)"
518,2246,20140102,,P V DUYSESTR 47 (5069),"(52.052442276, 4.314040741)"
518,2263,20171130,,V W V DIJKVELDSTR 65 (5483),"(52.093951854, 4.280046127)"
518,2263,20171130,,V BLEISWIJKSTR 143 (5465),"(52.093951854, 4.280046127)"
518,2246,20140102,,HASEBROEKSTR 47 (4843),"(52.052442276, 4.314040741)"
518,2246,20140201,,SCHIMMELWEG 411 (4809),"(52.050468525, 4.313582322)"
289,236001,20170913,,,"(51.968624526, 5.663741846)"
867,21413,20180530,,De Els (noord) 1,"(51.689449652, 5.063608703)"
867,21440,20180530,,Mr van Coothstraat Zuid 1,"(51.685764779, 5.063460214)"
867,21418,20180530,,Bernhardstraat 1,"(51.688037547, 5.069569581)"
867,21406,20180530,,Julianastraat 3,"(51.687436932, 5.064194041)"
363,17534,20170904,,Hoekenes 98 T/H,"(52.356803298, 4.800685818)"
363,17535,20170904,,Van Suchtelen van de Haarestraat 50 T/H,"(52.357042228, 4.801962149)"
363,17537,20170904,,Hoekenespad 12 T/H,"(52.355745863, 4.803394067)"
518,2244,20130701,,VOLENDAMLAAN 940 (4730),"(52.061425168, 4.263982906)"
518,2246,20140201,,SCHAAPHERDERSTR 411 (5068),"(52.050468525, 4.313582322)"
518,2244,20130701,,NIEUWENDAMLAAN  (5505),"(52.061425168, 4.263982906)"
363,12528,20060404,,Olympiaplein 11_MULTI,"(52.349539004, 4.86727351)"
363,17512,20060404,,NICOLAAS ANSLIJNSTRAAT 190 T/O_BORD,"(52.357133176, 4.808200236)"
363,17538,20170904,,Hoekenespad 2 T/H_BORD,"(52.356088335, 4.805070765)"
363,17525,20170904,,Martini van Geffenstraat 85 T/H,"(52.357832286, 4.800606713)"
867,21438,20180530,,Margrietstraat 3,"(51.68655496, 5.065233579)"
867,21414,20180530,,De Els (noord) 2,"(51.689627297, 5.064092418)"
363,17539,20170904,,Hoekenespad 24 T/H,"(52.35647585, 4.806918423)"
867,21405,20180530,,Julianastraat 2,"(51.687467509, 5.065189127)"
363,12529,20060404,,Olympiaplein 47_MULTI,"(52.348006835, 4.867712465)"
363,17536,20170904,,Martini van Geffenstraat 108 T/H_BORD,"(52.358020701, 4.803565017)"
518,2260,20080110,,STEENTIJDSINGEL 5 (3846),"(52.041508881, 4.367812178)"
518,2260,20080110,,STEENTIJDSINGEL 8 (3844),"(52.041758109, 4.36846949)"
518,2260,20080110,,STEENTIJDSINGEL 90 (3843),"(52.042200263, 4.369637942)"
867,21452,20180530,,Grotestraat (west) 1,"(51.690118519, 5.061378027)"
867,21426,20180530,,Grotestraat (oost) 2,"(51.691034271, 5.072060614)"
867,21423,20180530,,Wilhelminastraat 1,"(51.690087119, 5.069639888)"
867,21449,20180530,,Irenestraat 1,"(51.686736545, 5.06820016)"
867,21412,20180530,,St Jansplein 1,"(51.690323584, 5.068932224)"
867,21400,20180530,,St Jansplein 3,"(51.68948169, 5.068654703)"
928,566502,20190901,,Europaplein,"(50.867370081, 6.062839234)"
928,566506,20190901,,Stationsstraat,"(50.863182146, 6.062505646)"
867,21450,20180530,,Margrietstraat 1,"(51.686742759, 5.066745659)"
867,21441,20180530,,Mr van Coothstraat Zuid 2,"(51.685361136, 5.063661169)"
928,566504,20190901,,Hoofdstraat,"(50.864222004, 6.066855902)"
307,9003,20150216,20171012,P. Buyslaan,"(52.149921083, 5.376955637)"
307,9014,20171012,,P. Buyslaan,"(52.149946987, 5.37696408)"
361,72016,20171101,,,"(52.638497771, 4.740283216)"
361,72016,20171101,,,"(52.635213397, 4.752051358)"
928,566501,20181220,,Engerweg,"(50.863984727, 6.061729947)"
772,5050,20190601,20190625,Kerkakkerstraat Fregatstraat_Overzijde huisnr. 30,"(51.439171732, 5.456908795)"
935,27909,20140401,20190117,Kennedybrug 1 (Stay Okay),"(50.843295427, 5.697487961)"
935,27788,20140401,,Albertiplein 1 /perc 21,"(50.855639831, 5.700956769)"
935,27881,20140401,,Bloemenweg 2 / perceel 168,"(50.841561913, 5.713909438)"
935,27714,20140101,,Jekerschans 1 / Jekerweg,"(50.839489348, 5.685925618)"
935,27585,20140401,20190117,Via Regia / plantsoen,"(50.850106888, 5.669462393)"
363,19051,20061211,,Leeuwendalersweg t/h 41,"(52.380000357, 4.839726136)"
